time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-30T23:38:18.160Z,44.8213333,-122.2221667,3.78,2.57,ml,4,255,1.001,0.08,uw,uw61424371,2018-11-07T18:37:07.040Z,"11 km NNW of Detroit, Oregon",earthquake,10.57,31.61,0.376,2,reviewed,uw,uw
2018-08-24T10:48:50.260Z,44.228,-125.4033,10,2.8,ml,,177,1.087,0.96,us,us1000ggsm,2018-11-01T17:50:57.040Z,"104 km W of Yachats, Oregon",earthquake,4.9,2,0.039,86,reviewed,us,us
2018-07-11T12:09:45.720Z,44.613,-124.3475,25.41,3,ml,17,229,0.2154,0.08,uw,uw61395262,2018-10-02T16:40:34.040Z,"23 km W of Newport, Oregon",earthquake,0.41,0.53,0.242,12,reviewed,uw,uw
2018-04-15T03:45:41.250Z,44.9455,-122.7558333,18.38,3.08,ml,36,41,0.1508,0.23,uw,uw61363027,2019-03-06T18:00:54.748Z,"6 km SSE of Silverton, Oregon",earthquake,0.33,1.1,0.172,24,reviewed,uw,uw
2018-03-09T08:48:28.940Z,44.2056,-124.6819,10,2.8,ml,,148,0.434,1.28,us,us1000d3fy,2018-06-08T05:12:16.040Z,"47 km WSW of Yachats, Oregon",earthquake,2.1,2,0.056,42,reviewed,us,us
2018-02-04T22:37:32.230Z,45.1558333,-124.3488333,30.15,3.06,ml,21,155,0.3731,0.41,uw,uw61366781,2018-04-25T01:39:48.040Z,"29 km W of Neskowin, Oregon",earthquake,0.83,2.68,0.117,6,reviewed,uw,uw
2017-12-14T01:24:26.830Z,45.0353333,-122.5993333,17.37,3.96,ml,53,40,0.1769,0.19,uw,uw61335997,2018-10-28T05:34:08.405Z,"5 km E of Scotts Mills, Oregon",earthquake,0.22,0.82,0.21,28,reviewed,uw,uw
2017-12-06T23:16:01.720Z,43.9998,-124.8511,20.99,2.8,ml,,157,0.535,0.59,us,us2000c1e4,2018-02-28T02:32:30.040Z,"60 km W of Florence, Oregon",earthquake,3.2,4.5,0.047,60,reviewed,us,us
2017-10-10T02:45:37.050Z,45.3206667,-121.6861667,6.84,2.75,ml,25,45,0.02276,0.16,uw,uw61339596,2018-01-09T02:14:53.040Z,"5 km ENE of Government Camp, Oregon",earthquake,0.24,0.23,0.188,23,reviewed,uw,uw
2017-09-26T22:21:58.680Z,44.2518333,-123.9531667,24.14,2.77,ml,20,98,0.1208,0.28,uw,uw61311237,2022-08-07T18:48:10.289Z,"13 km ESE of Yachats, Oregon",earthquake,0.45,1.16,0.136,14,reviewed,uw,uw
2017-09-05T15:48:09.530Z,44.3418333,-124.4218333,25.72,2.82,ml,13,248,0.235,0.21,uw,uw61303577,2017-12-07T20:00:13.040Z,"25 km W of Yachats, Oregon",earthquake,1.56,0.96,0.285,7,reviewed,uw,uw
2017-08-26T20:44:09.900Z,44.6125,-124.3365,25.73,2.54,ml,19,120,0.2076,0.1,uw,uw61299252,2017-11-22T03:43:34.040Z,"22 km W of Newport, Oregon",earthquake,0.3,0.53,0.125,10,reviewed,uw,uw
2017-07-11T23:40:24.420Z,44.3798333,-122.4308333,12.4,2.52,ml,22,80,0.1137,0.55,uw,uw61281277,2017-10-06T23:56:15.040Z,"4 km ESE of Cascadia, Oregon",earthquake,0.84,4.32,0.275,15,reviewed,uw,uw
2017-06-01T16:02:57.740Z,45.0576667,-123.0955,22.48,2.96,ml,32,60,0.1947,0.22,uw,uw61272097,2018-06-26T15:33:50.096Z,"9 km NW of Keizer, Oregon",earthquake,0.3,0.98,0.125,22,reviewed,uw,uw
2017-04-15T19:06:43.970Z,44.4392,-124.6165,36.68,2.7,ml,,140,0.393,0.86,us,us10008hyg,2017-07-05T18:10:01.040Z,"43 km WNW of Yachats, Oregon",earthquake,1.8,7.4,0.203,12,reviewed,uw,uw
2017-04-15T14:48:35.220Z,44.4357,-124.6193,37.67,3.9,mb,,130,0.394,1.18,us,us10008hwk,2022-06-16T17:57:45.100Z,"43 km WNW of Yachats, Oregon",earthquake,3.2,8,0.154,11,reviewed,uw,us
2016-12-05T06:42:00.930Z,43.2698333,-124.4413333,15.79,3.3,ml,17,195,0.181,0.52,uw,uw61221842,2017-03-03T07:06:03.040Z,"14 km SW of Barview, Oregon",earthquake,1.18,1.59,0.054,8,reviewed,uw,uw
2016-10-04T04:29:22.630Z,45.163,-122.9108333,23.7,3.03,ml,41,37,0.1899,0.24,uw,uw61201937,2017-12-14T02:21:01.271Z,"4 km WNW of Woodburn, Oregon",earthquake,0.3,0.96,0.111,27,reviewed,uw,uw
2016-07-17T01:16:43.880Z,45.4748333,-122.8133333,26.65,3.03,ml,42,51,0.03341,0.2,uw,uw61167147,2016-09-17T01:27:47.040Z,"Washington-Oregon border region",earthquake,0.23,0.41,0.178,134,reviewed,uw,uw
2015-11-12T16:16:30.550Z,45.6816667,-122.7548333,22.196,2.69,ml,41,67,0.07065,0.14,uw,uw61104171,2022-08-01T17:30:42.685Z,"4 km SW of Felida, Washington",earthquake,0.29,0.43,0.168,103,reviewed,uw,uw
2015-10-26T06:11:01.280Z,43.529,-121.7233333,5.82,2.89,ml,28,74,0.03217,0.16,uw,uw61083597,2022-08-01T13:43:17.227Z,"23 km SW of La Pine, Oregon",earthquake,0.34,0.28,0.208,68,reviewed,uw,uw
